13019023;Incenso
13019029;Outras
13019030;Bálsamos
13019041;De pinheiros, incluída a terebintina
13019049;Outras
13019090;Outros
13021100;Ópio
13021200;de alcaçuz
13021300;de lúpulo
13021410;De piretro
13021490;Outros
13021910;De fetomacho
13021920;De casca de castanha de caju
13021931;De piretro
13021939;Outros
13021990;Outros
13022010;Matérias pécticas (pectinas)
13022090;Outros
13023100;Ágarágar
13023210;De alfarroba ou de sua semente
13023220;De sementes de guaré
13023900;Outros
14011000;Bambus
14012000;Rotins
14019010;Canas
14019030;Vimes
14019040;Ráfia
14019090;Outras
14020000;Matérias vegetais das espécies principalmente
14030010;Piaçaba
14030090;Outras
14041010;Urucum
14041090;Outros
14042000;Línteres de algodão
14049010;Matérias vegetais das espécies principalmente utilizadas para enchimento ou estofamento (por exemplo: sumaúma ("kapok"),
14049020;Matérias vegetais das espécies principalmente utilizadas na fabricação de vassouras ou de escovas (por exemplo: sorgo, p
14049030;Cascas de quilaia
14049041;Urucum
14049049;Outras
14049090;Outros
15010011;Banha
15010019;Outras
15010020;Gorduras de aves, exceto as gorduras de ossos ou
15010090;Outras
15020010;Sebo bovino
15020090;Outras
15030010;Estearina solar
15030030;Óleoestearina
15030040;Óleomargarina comestível
15030090;Outros
15041010;De fígado de bacalhau
15041091;Óleo em bruto
15041099;Outros
15042010;Gorduras e óleos em bruto
15042090;Outros
15043000;Gorduras e óleos de mamíferos marinhos e
15050010;Suarda em bruto
15050091;Lanolina
15050099;Outras
15060010;Óleo de mocotó
15060090;Outros
15071000;Óleo em bruto, mesmo degomado
15079000;Outros
15081000;Óleo em bruto
15089000;Outros
15091000;Virgens
15099000;Outros
15100000;Outros óleos e respectivas frações, obtidos
15111000;Óleo em bruto
15119000;Outros
15121110;De girassol
15121120;De cártamo
15121910;De girassol
15121920;De cártamo
15122100;Óleo em bruto, mesmo desprovido de "gossypol"
15122900;Outros
15131100;Óleo em bruto
15131900;Outros
15132110;De "palmiste" (de amêndoas de palmeiras, exceto de
15132120;De babaçu
15132910;De "palmiste" (de amêndoas de palmeiras, exceto de
15132920;De babaçu
15141100;Óleos em bruto
15141900;Outros
15149100;Óleos em bruto
15149900;Outros
15151100;Óleo em bruto
15151900;Outros
15152100;Óleo em bruto
15152900;Outros
15153010;Óleo em bruto
15153090;Outros
15154010;Óleo em bruto
15154090;Outros
15155010;Óleo em bruto
15155090;Outros
15159011;Óleo em bruto
15159019;Outros
15159021;Óleo em bruto
15159029;Outros
15159091;Em bruto
15159099;Outros
15161010;De peixe
15161020;De mamíferos marinhos
15161090;Outros
15162010;De algodão
15162090;Outros
15171000;Margarina, exceto a margarina líquida
15179010;Vegetalina (gordura de coco)
15179090;Outras
15180000;Gorduras e óleos animais ou vegetais, e
15200010;Glicerol em bruto
15200020;Águas e lixívias, glicéricas
15211000;Ceras vegetais
15219011;Em bruto
15219019;Outras
15219090;Outros
15220000;"Dégras"; resíduos provenientes do tratamento das
16010000;Enchidos e produtos semelhantes, de carne,
16021000;Preparações homogeneizadas
16022000;De fígados de quaisquer animais
16023100;de peru
16023200;de galos e de galinhas
16023900;Outras
16024100;Pernas e respectivos pedaços
16024200;Pás e respectivos pedaços
16024900;Outras, incluídas as misturas
16025000;Da espécie bovina
16029010;De carne ou de miudezas
16029020;De sangue
16030011;Em pasta
16030019;Outros
16030020;Sucos de carne
16030090;Outros
16041100;Salmões
16041200;Arenques
16041310;Sardinhas
16041390;Outros
16041410;Atuns
16041420;Bonitos listrados
16041430;Outros bonitos
16041500;Cavalas, cavalinhas e sardas*
16041610;Filés
16041690;Outros
16041900;Outros
16042010;Enchidos
16042091;De atuns
16042092;De bonitos (Sarda spp)
16042093;De salmão
16042094;De sardinhas, sardinelas e espadilhas
16042099;Outras
16043000;Caviar e seus sucedâneos
16051010;Caranguejos marinhos do gênero Câncer
16051020;Santolas
16051090;Outros
16052000;Camarões
16053000;Lavagantes ("homards")
16054010;Lagostas
16054090;Outros
16059010;Sibas e sepias; lulas; polvos
16059020;Amêijoas
16059030;Berbigões
16059041;"Choros" ou "choros zapato" (Choromytilus chorus);
16059049;Outros
16059050;Ostras
16059060;"Ostiones" (Pecten purpuratus ou Chlamys
16059072;"Locos"
